,book_name,tags,year
572,中国古典诗词感发 (豆瓣),"['古典诗词', '顾随', '叶嘉莹', '诗词', '古典文学', '中国文学', '文学', '中国古典诗词感发']", 2012-6-1
573,特朗斯特罗姆诗歌全集 (豆瓣),"['诗歌', '特朗斯特罗姆', '托马斯·特朗斯特罗姆', '瑞典文学', '诗', '瑞典', '外国文学', '诗集']", 2012-3
574,恩宠与勇气：超越死亡 (豆瓣),"['心理学', '心灵成长', '灵修', '肯•威尔伯', '死亡', '心理', '哲学', '修行']", 2013-6
575,坏狐狸 (豆瓣),"['绘本', '漫画', '法国', '绘本&漫画', '绘本，儿童文学', '法国绘画', '插画', '后浪漫']", 2018-4
576,彼得·林奇的成功投资 (豆瓣),"['投资', '投资理财', '彼得林奇', '股票', '理财', '金融', '证券', '经济']", 2010-4-1
577,拜厄钢琴基本教程 (豆瓣),"['钢琴', '琴谱', '音乐', '拜厄钢琴基本教程', '拜厄', '教材', '钢琴谱', '乐谱']", 2000-8-1
578,态度改变与社会影响 (豆瓣),"['心理学', '社会心理学', '态度改变与社会影响', '心理', '社会学', '思维', '津巴多', '社会']", 2007-11-1
579,中国古代思想史论 (豆瓣),"['李泽厚', '思想史', '哲学', '中国哲学', '历史', '中国', '思想', '文化']", 2008-6
580,判断力批判 (豆瓣),"['哲学', '康德', '判断力批判', '西方哲学', '德国', '美学', '经典', '邓晓芒']", 2002-12
581,伊凡·伊里奇之死 (豆瓣),"['托尔斯泰', '死亡', '小说', '俄国文学', '俄罗斯文学', '外国文学', '俄国', '心理学']", 2017-10
582,阿莱夫 (豆瓣),"['博尔赫斯', '拉美文学', '阿根廷', '小说', '短篇小说', '阿根廷文学', '文学', '外国文学']", 2015-7
583,卡利古拉 (豆瓣),"['加缪', '戏剧', '阿尔贝·加缪', '法国', '法国文学', '存在主义', '文学', '剧本']", 2013-8
584,地狱变 (豆瓣),"['芥川龙之介', '日本文学', '日本', '地狱变', '人性', '小说', '现实主义', '经典']", 1999年
585,美国讲稿 (豆瓣),"['卡尔维诺', '伊塔洛·卡尔维诺', '文学理论', '意大利', '文学', '外国文学', '文艺理论', '意大利文学']", 2012-4-1
586,伯罗奔尼撒战争史 (豆瓣),"['历史', '古希腊', '修昔底德', '伯罗奔尼撒战争史', '政治学', '汉译世界学术名著丛书', '希腊', '经典']", 1960
587,诗学 (豆瓣),"['亚里士多德', '文艺理论', '古希腊', '哲学', '诗学', '文学理论', '美学', '戏剧']", 1996-7
588,秦汉魏晋史探微 (豆瓣),"['历史', '田余庆', '魏晋南北朝', '秦汉史', '中国古代史', '魏晋南北朝史', '中国历史', '中国']", 2011-6-1
589,少年凯歌 (豆瓣),"['陈凯歌', '传记', '自传', '文革', '成长', '电影', '中国', '青春']", 2001-6
590,叶嘉莹说汉魏六朝诗 (豆瓣),"['叶嘉莹', '诗词', '汉魏六朝', '古典文学', '中国古典文学', '诗歌', '文学评论', '文学']", 2007-1
591,群魔 (豆瓣),"['陀思妥耶夫斯基', '俄国文学', '小说', '俄罗斯', '外国文学', '文学', '心理', '群魔']", 2002-5
592,致未来的诗人 (豆瓣),"['诗歌', '塞尔努达', '西班牙', '西班牙文学', '路易斯·塞尔努达', '诗', '外国文学', '范晔']", 2015-8
593,解体概要 (豆瓣),"['哲学', '萧沆', '法国', '解构主义', '西方哲学', '齐奥朗', '解体概要', '虚无主义']", 2010-9
594,魔灯 (豆瓣),"['传记', '英格玛·伯格曼', '电影', '伯格曼', '瑞典', '外国文学', '理想国', '2017']", 2017-8
595,朱光潜谈美 (豆瓣),"['美学', '朱光潜', '美学大师', '哲学', '艺术', '随笔', '思想', '中国']", 2012-9
596,现实与欲望 (豆瓣),"['诗歌', '西班牙', '塞尔努达', '西班牙文学', '路易斯·塞尔努达', '诗集', '外国文学', '诗']", 2016-1
597,佛陀传 (豆瓣),"['佛陀', '一行禅师', '宗教', '佛学', '传记', '佛教', '身心灵', '佛法经典']", 2014-3-1
598,查拉图斯特拉如是说 (豆瓣),"['尼采', '哲学', '德国', '查拉图斯特拉', '西方哲学', '哲学&美学', '思想', '超人']", 2014-9-1
599,猎魔人2：宿命之剑 (豆瓣),"['奇幻', '安德烈·斯帕克沃斯基', '猎魔人', '波兰', '猎魔人系列', '小说', '波兰文学', '西方奇幻']", 2015-5-1
600,沉默的大多数 (豆瓣),"['王小波', '杂文', '思想', '自由主义', '随笔', '理性', '中国文学', '中国']", 2017-4
601,故事新编 (豆瓣),"['鲁迅', '中国文学', '小说', '经典', '故事新编', '文学', '中国', '现当代文学']", 2015-1-1
602,柏拉图对话集 (豆瓣),"['哲学', '柏拉图', '古希腊', '柏拉图对话集', '西方哲学', '苏格拉底', '王太庆', '经典']", 2004-07-02
603,"The Elements of Style, Fourth Edition (豆瓣)","['写作', '英语', 'writing', 'english', '英文', '语言', 'Language', 'Writing.']", 1999-8-2
604,图说敦煌二五四窟 (豆瓣),"['敦煌', '艺术', '敦煌学', '艺术史', '文化', '考古', '佛教史', '中国']", 2017-11
605,清明上河图密码6 (豆瓣),"['清明上河图密码', '悬疑小说', '推理', '历史', '中国文学', '冶文彪', '小说', '大结局']", 2019-11-11
606,13 67 (豆瓣),"['推理', '推理小说', '香港', '陈浩基', '香港推理', '犯罪', '小说', '陳浩基']", 2014-6-9
607,规训与惩罚(修订译本)(第4版) (豆瓣),"['福柯', '社会学', '哲学', '米歇尔·福柯', '法国', '文化研究', '思想史', '法学']", 2012-9
608,人间词话 (豆瓣),"['王国维', '人间词话', '古典文学', '诗词', '文学理论', '国学', '中国文学', '经典']", 2007-4
609,我的精神家园 (豆瓣),"['王小波', '杂文', '中国文学', '我的精神家园', '随笔', '中国', '散文', '王小波杂文']", 2008-10
610,中国文化要义 (豆瓣),"['梁漱溟', '中国文化', '文化', '哲学', '中国', '社会', '社会学', '国学']", 2011-6
611,另一个，同一个 (豆瓣),"['博尔赫斯', '诗歌', '拉美文学', '豪尔赫·路易斯·博尔赫斯', '诗', '阿根廷', '阿根廷文学', '外国文学']", 2016-8
612,博尔赫斯，口述 (豆瓣),"['博尔赫斯', '阿根廷', '拉美文学', '豪尔赫·路易斯·博尔赫斯', '随笔', '阿根廷文学', '外国文学', '散文']", 2015-7
613,七夜 (豆瓣),"['博尔赫斯', '阿根廷', '文学', '阿根廷文学', '拉美文学', '随笔', '外国文学', '豪尔赫·路易斯·博尔赫斯']", 2015-7
614,诗艺 (豆瓣),"['博尔赫斯', '诗歌', '文学评论', '阿根廷', '豪尔赫·路易斯·博尔赫斯', '文学', '拉美文学', '外国文学']", 2015-6
615,樱桃的滋味 (豆瓣),"['电影', '阿巴斯', '艺术', '阿巴斯·基亚罗斯塔米', '电影书', '伊朗', '文学', '电影方法论']", 2017-9
616,股市真规则 (豆瓣),"['投资', '股票', '价值投资', '金融', '理财', '投资理财', '证券', '经济']", 2010-1
617,重屏 (豆瓣),"['巫鸿', '艺术史', '艺术', '美术史', '海外中国研究', '美学', '中国艺术史', '绘画']", 2010年1月
618,大都会艺术博物馆指南 (豆瓣),"['艺术', '博物馆', '大都会艺术博物馆', '艺术史', '美国', '绘画', '大都会', '后浪']", 2016-10
619,白痴 (豆瓣),"['陀思妥耶夫斯基', '俄国文学', '小说', '俄罗斯文学', '外国文学', '文学', '俄国', '*上海译文出版社*']", 2015-1
620,非理性的人 (豆瓣),"['哲学', '存在主义', '威廉·巴雷特', '西方哲学', '非理性的人', '美国', '存在主義', '外国哲学']", 2012-11
621,冰雪王国 (豆瓣),"['纪实', '北极探险', '历史', '探险', '美国', '甲骨文丛书', '生存考验', '甲骨文']", 2017-4
622,亲密关系（第6版） (豆瓣),"['心理学', '亲密关系', '人际关系', '社会心理学', '心理', '情感', '爱情', '社会学']", 2015-6
623,证券分析 (豆瓣),"['投资', '金融', '本杰明·格雷厄姆', '股票', '价值投资', '金融理财', '经济', '经济学']", 2013-4
624,与社会学同游 (豆瓣),"['社会学', '社会学入门', '彼得·伯格', '社会理论', '社會學', '美国', '入门', '哲学']", 2014-10
625,政治学 (豆瓣),"['亚里士多德', '政治学', '哲学', '政治哲学', '古希腊', '政治', '经典', '商务印书馆']", 1965-8-1
626,自由秩序原理 (豆瓣),"['哈耶克', '自由主义', '政治学', '经济学', '哲学', '政治', '自由', '思想']", 1997-12
627,晴天有时下猪 (豆瓣),"['儿童文学', '日本', '童话', '晴天，有时下猪', '矢玉四郎', '大幻想文学', '日本文学', '大幻想']", 1999-8
628,彷徨 (豆瓣),"['鲁迅', '小说', '中国文学', '文学', '中国', '现代文学', '经典', '彷徨']", 2006-12
629,哈农钢琴练指法 (豆瓣),"['钢琴', '琴谱', '哈农', '指法', '音乐', '教材', '钢琴谱', '弹过的钢琴书']", 2000-10
630,加缪手记 (豆瓣),"['加缪', '哲学', '阿尔贝·加缪', '法国文学', '法国', '思想', '文学', '加繆']", 2016-7
631,生育制度 (豆瓣),"['社会学', '费孝通', '生育制度', '人类学', '社会.人类学', '中国', '社会', '婚姻社会学']", 1999-07-20
632,硅谷增长黑客实战笔记 (豆瓣),"['增长黑客', '互联网', '用户增长', '运营', '数据分析', '商业', '营销', '数据']", 2018-4-10
633,有呀有呀书店 (豆瓣),"['绘本', '治愈', '日本', '脑洞', '有趣想读', '童话', '生活', '吉竹伸介']", 2018-8-1
634,奥古斯都 (豆瓣),"['奥古斯都', '古罗马', '历史', '历史小说', '约翰·威廉斯', '传记', '美国文学', '小说']", 2018-5
635,绿毛水怪 (豆瓣),"['王小波', '小说', '中国文学', '文学', '短篇小说', '有趣', '+王小波+李银河', '中国当代文学']", 2018-5-1
