,book_name,tags,year
109,万物既伟大又渺小 (豆瓣),"['吉米·哈利', '英国', '外国文学', '自然', '动物', '万物既伟大又渺小', '小说', '英国文学']", 2010-05
110,阿城精选集 (豆瓣),"['阿城', '中国文学', '小说', '散文', '当代文学', '文学', '中国', '文集']", 2011-3
111,金刚经 心经 坛经 (豆瓣),"['佛学', '佛教', '宗教', '哲学', '金刚经', '心经', '坛经', '经典']", 2007-12-1
112,经济学 (豆瓣),"['经济学', '萨缪尔森', '经济', '经典', '经济学理论', '教材', '经济学：第17版', '美国']", 2004-1
113,飞鸟集 (豆瓣),"['泰戈尔', '诗歌', '飞鸟集', '诗集', '外国文学', '文学', '印度', '印度文学']", 1992
114,顾城的诗 顾城的画 (豆瓣),"['顾城', '诗歌', '诗', '中国文学', '诗集', '画', '当代文学', '中国']", 2009-1
115,设计中的设计 | 全本 (豆瓣),"['设计', '原研哉', '日本', '艺术', '设计学', 'Design', '藝術設計私生活', '设计中的设计']", 2010-09
116,佛教的见地与修道 (豆瓣),"['佛教', '佛学', '宗萨蒋扬钦哲仁波切', '宗教', '佛教的见地与修道', '宗萨钦哲仁波切', '禅', '藏传佛教']", 2006-5
117,上学记 (豆瓣),"['何兆武', '回忆录', '西南联大', '传记', '历史', '口述史', '民国', '上学记']", 2008-9
118,人生的智慧 (豆瓣),"['哲学', '叔本华', '人生的智慧', '西方哲学', '人生', '思想', '德国', '生活']", 2008-10
119,金蔷薇 (豆瓣),"['帕乌斯托夫斯基', '俄国文学', '随笔', '金蔷薇', '外国文学', '文学', '俄罗斯', '散文']", 2007-3
120,张国荣的时光 (豆瓣),"['张国荣', '传记', '哥哥', '张国荣的时光', 'leslie', '回忆录', '張國榮', '香港']", 2011-12
121,岁朝清供 (豆瓣),"['汪曾祺', '散文', '随笔', '中国文学', '散文随笔', '文学', '中国', '三联']", 2010-1-1
122,华夏意匠 (豆瓣),"['建筑', '古建筑', '华夏意匠：中国古典建筑设计原理分析', '建筑史', '建筑理论', '建筑历史', '建筑设计', '华夏意匠']", 2005-5-1
123,万物刹那又永恒 (豆瓣),"['吉米·哈利', '外国文学', '英国', '随笔', '自然', '动物', '吉米•哈利“万物”系列', '万物刹那又永恒']", 2011-1
124,論語譯註 (豆瓣),"['论语', '国学', '杨伯峻', '孔子', '儒学', '哲学', '古籍', '古典']", 1980
125,中国文化要义 (豆瓣),"['梁漱溟', '文化', '中国文化', '国学', '哲学', '中国文化要义', '文化研究', '中国']", 2005-05
126,野草 (豆瓣),"['鲁迅', '散文', '中国文学', '散文诗', '野草', '中国', '文学', '现代文学']", 1973-3
127,中国法律与中国社会 (豆瓣),"['法学', '法律', '瞿同祖', '中国法律与中国社会', '社会学', '法制史', '历史', '法律社会学']", 2003-09-01
